Fecha,Casos_diarios
26-02-2020,0
27-02-2020,4
28-02-2020,2
29-02-2020,2
1/3/2020,2
2/3/2020,5
3/3/2020,9
4/3/2020,10
5/3/2020,11
6/3/2020,6
7/3/2020,7
8/3/2020,8
9/3/2020,5
10/3/2020,17
11/3/2020,39
12/3/2020,41
13-03-2020,66
14-03-2020,52
15-03-2020,37
16-03-2020,77
17-03-2020,104
18-03-2020,116
19-03-2020,151
20-03-2020,132
21-03-2020,85
22-03-2020,70
23-03-2020,168
24-03-2020,220
25-03-2020,185
26-03-2020,224
27-03-2020,262
28-03-2020,191
29-03-2020,166
30-03-2020,345
31-03-2020,311
1/4/2020,382
2/4/2020,347
3/4/2020,392
4/4/2020,250
5/4/2020,259
6/4/2020,631
7/4/2020,515
8/4/2020,581
9/4/2020,483
10/4/2020,572
11/4/2020,464
12/4/2020,479
13-04-2020,953
14-04-2020,936
15-04-2020,985
16-04-2020,996
17-04-2020,1145
18-04-2020,815
19-04-2020,794
20-04-2020,1521
21-04-2020,1471
22-04-2020,1423
23-04-2020,1506
24-04-2020,1734
25-04-2020,1164
26-04-2020,1117
27-04-2020,1942
28-04-2020,1961
29-04-2020,1948
30-04-2020,1884
1/5/2020,1555
2/5/2020,1493
3/5/2020,1377
4/5/2020,2642
5/5/2020,2234
6/5/2020,2389
7/5/2020,2531
8/5/2020,2530
9/5/2020,1657
10/5/2020,1552
11/5/2020,3118
12/5/2020,3070
13-05-2020,3230
14-05-2020,3217
15-05-2020,3694
16-05-2020,2270
17-05-2020,1739
18-05-2020,4181
19-05-2020,3710
20-05-2020,4052
21-05-2020,4103
22-05-2020,4132
23-05-2020,2416
24-05-2020,2002
25-05-2020,4788
26-05-2020,4423
27-05-2020,4566
28-05-2020,4310
29-05-2020,4468
30-05-2020,2822
31-05-2020,2199
1/6/2020,5453
2/6/2020,4837
3/6/2020,5073
4/6/2020,5013
5/6/2020,5159
6/6/2020,3149
7/6/2020,2468
8/6/2020,6291
9/6/2020,5873
10/6/2020,5826
11/6/2020,5471
12/6/2020,5744
13-06-2020,3231
14-06-2020,2702
15-06-2020,6690
16-06-2020,6476
17-06-2020,6180
18-06-2020,6146
19-06-2020,6162
20-06-2020,3736
21-06-2020,2610
22-06-2020,7014
23-06-2020,6617
