"fecha","casos"
2020-01-01,484
2020-01-02,1142
2020-01-03,546
2020-01-04,2280
2020-01-05,1400
2020-01-06,1093
2020-01-07,804
2020-01-08,603
2020-01-09,212
2020-01-10,87
2020-01-11,304
2020-01-12,404
2020-01-13,241
2020-01-14,197
2020-01-15,203
2020-01-16,75
2020-01-17,91
2020-01-18,178
2020-01-19,163
2020-01-20,200
2020-01-21,147
2020-01-22,143
2020-01-23,76
2020-01-24,51
2020-01-25,144
2020-01-26,103
2020-01-27,148
2020-01-28,132
2020-01-29,97
2020-01-30,150
2020-01-31,207
2020-02-01,296
2020-02-02,216
2020-02-03,144
2020-02-04,331
2020-02-05,115
2020-02-06,103
2020-02-07,91
2020-02-08,129
2020-02-09,117
2020-02-10,145
2020-02-11,137
2020-02-12,176
2020-02-13,88
2020-02-14,95
2020-02-15,149
2020-02-16,130
2020-02-17,158
2020-02-18,181
2020-02-19,199
2020-02-20,133
2020-02-21,94
2020-02-22,157
2020-02-23,91
2020-02-24,140
2020-02-25,27
2020-02-26,11
2020-02-27,20
2020-02-28,24
2020-03-01,77
2020-03-02,79
2020-03-03,121
2020-03-04,196
2020-03-05,220
2020-03-06,372
2020-03-07,190
2020-03-08,274
2020-03-09,402
2020-03-10,466
2020-03-11,761
2020-03-12,954
2020-03-13,1371
2020-03-14,1191
2020-03-15,1239
2020-03-16,1784
2020-03-17,2256
2020-03-18,2631
2020-03-19,3374
2020-03-20,3592
2020-03-21,3469
2020-03-22,3981
2020-03-23,5881
2020-03-24,5859
2020-03-25,5805
2020-03-26,7028
2020-03-27,6318
2020-03-28,4788
2020-03-29,3904
2020-03-30,5538
2020-03-31,5612
2020-04-01,5799
2020-04-02,5238
2020-04-03,5282
2020-04-04,3130
2020-04-05,2625
2020-04-06,4162
2020-04-07,3962
2020-04-08,3164
2020-04-09,5961
2020-04-10,6429
2020-04-11,3685
2020-04-12,2801
2020-04-13,2601
2020-04-14,4669
2020-04-15,5231
2020-04-16,6014
2020-04-17,5547
2020-04-18,4121
2020-04-19,-10610
2020-04-20,4365
2020-04-21,3780
2020-04-22,4793
2020-04-23,6441
2020-04-24,6331
2020-04-25,6843
2020-04-26,4731
2020-04-27,7923
2020-04-28,8457
2020-04-29,9675
2020-04-30,10533
2020-05-01,7342
2020-05-02,5969
2020-05-03,6933
2020-05-04,10934
2020-05-05,9882
2020-05-06,13295
2020-05-07,12341
2020-05-08,13363
2020-05-09,14750
2020-05-10,8637
2020-05-11,9751
2020-05-12,12652
2020-05-13,14653
2020-05-14,21692
2020-05-15,20181
2020-05-16,18352
2020-05-17,9857
2020-05-18,15457
2020-05-19,24365
2020-05-20,20647
2020-05-21,22446
2020-05-22,25865
2020-05-23,20985
2020-05-24,19188
2020-05-25,17594
2020-05-26,25435
2020-05-27,27198
2020-05-28,31272
2020-05-29,31036
2020-05-30,36784
2020-05-31,23770
2020-06-01,19561
2020-06-02,34052
2020-06-03,30455
2020-06-04,30744
2020-06-05,38718
2020-06-06,31315
2020-06-07,24465
2020-06-08,21628
2020-06-09,30726
2020-06-10,39161
2020-06-11,27588
2020-06-12,24005
2020-06-13,26578
2020-06-14,21881
2020-06-15,13358
2020-06-16,26176
2020-06-17,31298
2020-06-18,22797
2020-06-19,51440
2020-06-20,43300
2020-06-21,4206
2020-06-22,22171
2020-06-23,22557
2020-06-24,31223
2020-06-25,37955
2020-06-26,46368
2020-06-27,54135
2020-06-28,32011
2020-06-29,25276
2020-06-30,30664
2020-07-01,35186
2020-07-02,46619
2020-07-03,51899
2020-07-04,55587
2020-07-05,20526
2020-07-06,19931
2020-07-07,26083
2020-07-08,29721
2020-07-09,35267
2020-07-10,46777
2020-07-11,40858
2020-07-12,19861
2020-07-13,13009
2020-07-14,48928
2020-07-15,44681
2020-07-16,36525
2020-07-17,44675
2020-07-18,33224
2020-07-19,16917
2020-07-20,9418
2020-07-21,17122
2020-07-22,62749
2020-07-23,58476
2020-07-24,70989
2020-07-25,57370
2020-07-26,34461
2020-07-27,25140
2020-07-28,24769
2020-07-29,42886
2020-07-30,57822
2020-07-31,69240
2020-08-01,53870
2020-08-02,33890
2020-08-03,25469
2020-08-04,33172
2020-08-05,59999
2020-08-06,39842
2020-08-07,104507
2020-08-08,79834
2020-08-09,43059
2020-08-10,7640
2020-08-11,12141
2020-08-12,27488
2020-08-13,51548
2020-08-14,60428
2020-08-15,54264
2020-08-16,15750
2020-08-17,-1174
2020-08-18,9122
2020-08-19,27883
2020-08-20,43524
2020-08-21,46111
2020-08-22,47555
2020-08-23,16300
2020-08-24,12238
2020-08-25,19548
2020-08-26,32150
2020-08-27,51101
2020-08-28,59181
